8001,2006392
8001,2004626
8001,2007488
8001,2005529
8001,2001590
8001,2008190
8001,2001024
8001,2004901
8001,2006155
8001,2009007
8001,2002862
8001,2001319
8001,2002835
8001,2004066
8001,2002911
8001,2002469
8002,2007353
8002,2004507
8002,2004217
8002,2002698
8002,2006203
8002,2002663
8002,200304
8002,2009701
8002,200160
8003,2008944
8003,200476
8003,2001399
8003,2002774
8003,2007900
8003,2005406
8003,2007839
8003,2001109
8003,2007826
8003,200153
8003,2003765
8003,2003663
8003,2007682
8003,2004654
8003,2006596
8003,2005927
8003,2007967
8003,2006335
8003,2001467
8004,2005264
8004,200419
8004,2007015
8004,2008763
8005,2007631
8005,2003972
8005,2004113
8005,2004966
8005,2009919
8005,2003331
8005,2006279
8006,2008846
8006,20065
8006,2006262
8007,2006941
8007,2001092
8007,2002064
8007,2004657
8007,2003762
8007,2005666
8007,200169
8007,2008995
8007,20058
8007,2004926
8007,2007373
8007,200140
8007,2006212
8007,2007997
8007,2002221
8007,2004954
8007,2009226
8007,2006066
8008,2008734
8008,2003576
8008,2006234
8008,2003740
8009,2001035
8009,2008229
8009,2003952
8009,2008245
8009,200722
8009,2007935
8009,2001049
8009,2006883
8009,2001123
8009,2005401
8009,2001788
8009,2007348
8009,2002731
80010,2006936
80010,2005796
80010,2001121
80010,2001277
80010,2008185
80010,2007117
80010,2009506
80011,200263
80011,2007740
80011,2002369
80011,2009439
80011,2008518
80011,2008683
80011,2003342
80011,2004792
80011,2005412
80011,2002372
80011,2009936
80011,2002502
80011,200687
80011,2008201
80011,2009618
80011,2001313
80011,2004212
80012,2007891
80012,2002346
80012,2001814
80012,2006143
80012,2008295
80012,2008363
80012,200456
80012,200297
80012,2001326
80012,20017
80012,2004862
80012,2002530
80013,2004896
80013,2005010
80013,2002036
80013,2003514
80014,2002621
80014,2003738
80014,2006022
80014,2008962
80014,2001495
80014,2009401
80014,2009396
80014,200170
80014,2004344
80014,200645
80015,2003935
80015,2001304
80015,2007126
80015,2008446
80015,2009587
80015,2001417
80015,2003782
80015,2001492
80015,2001244
80015,2001613
80015,2002244
80015,2007378
80015,2002713
80016,2005578
80016,2004252
80016,2006322
80016,2003026
80017,2003577
80017,2006671
80017,2008339
80017,2003988
80017,2007922
80017,2007780
80017,2002324
80017,2003376
80017,2009840
