6,Okay,1000,1
7,Average,1001,2
8,Mindblowing,1002,3
6,Okay,1003,4
9,Mindblowing,1004,5
6,Okay,1005,6
9,Amazing,1006,7
10,Amazing,1007,8
6,Could Be better,1008,9
9,Amazing,1009,10
8,Mindblowing,1010,11
10,Mindblowing,1011,12
10,Amazing,1012,13
10,Amazing,1013,14
6,Could Be better,1014,15
8,Amazing,1015,16
6,Could Be better,1016,17
10,Great,1017,18
10,Great,1018,19
8,Great,1019,20
8,Amazing,1020,21
6,Average,1021,22
6,Could Be better,1022,23
8,Mindblowing,1023,24
8,Mindblowing,1024,25
8,Mindblowing,1025,26
7,Could Be better,1026,27
6,Could Be better,1027,28
10,Amazing,1028,29
8,Amazing,1029,30
6,Okay,1030,31
9,Mindblowing,1031,32
7,Okay,1032,33
10,Mindblowing,1033,34
7,Okay,1034,35
9,Great,1035,36
8,Amazing,1036,37
10,Mindblowing,1037,38
10,Great,1038,39
9,Great,1039,40
9,Amazing,1040,41
6,Okay,1041,42
9,Mindblowing,1042,43
8,Mindblowing,1043,44
7,Could Be better,1044,45
8,Amazing,1045,46
9,Great,1046,47
9,Great,1047,48
8,Amazing,1048,49
9,Mindblowing,1049,50
9,Great,1050,51
6,Average,1051,52
6,Could Be better,1052,53
6,Okay,1053,54
6,Okay,1054,55
7,Could Be better,1055,56
10,Mindblowing,1056,57
7,Could Be better,1057,58
8,Great,1058,59
6,Okay,1059,60
8,Mindblowing,1060,61
8,Amazing,1061,62
8,Great,1062,63
6,Average,1063,64
10,Mindblowing,1064,65
8,Great,1065,66
10,Amazing,1066,67
10,Great,1067,68
10,Amazing,1068,69
7,Could Be better,1069,70
7,Could Be better,1070,71
6,Okay,1071,72
7,Could Be better,1072,73
6,Okay,1073,74
9,Amazing,1074,75
6,Could Be better,1075,76
7,Could Be better,1076,77
9,Great,1077,78
10,Great,1078,79
9,Great,1079,80
7,Could Be better,1080,81
8,Great,1081,82
7,Okay,1082,83
8,Amazing,1083,84
