2001,Raging Bull,1993,9,1000,500245
2002,Chinatown,1991,12,1001,500161
2003,Apocalypse Now,2015,16,1002,50040
2004,Fences,1994,12,1003,50061
2005,The Lion in Winter,2018,16,1004,500189
2006,Casablanca,2018,9,1005,5007
2007,Out of Africa,1992,15,1006,50080
2008,There Will Be Blood,1999,16,1007,500122
2009,Lilies of the Field,2009,18,1008,500196
20010,It Happened One Night,2013,16,1009,500131
20111,Cast Away,1987,16,1010,501192
20112,Whos Afraid of Virginia Woolf?,1986,9,1011,501117
20113,All About Eve,2007,18,1012,501226
20114,To Kill a Mockingbird,2014,11,1013,50170
20115,Inception,2017,10,1014,501175
20116,Carol,2000,18,1015,50127
20117,Breakfast at Tiffany's,1999,20,1016,501123
20118,Judgment at Nuremberg,2018,15,1017,501185
20119,Eternal Sunshine of the Spotless Mind,2017,13,1018,50159
20120,Don 2,1995,11,1019,501109
20221,La ciociara,1985,20,1020,502111
20222,Charade,1991,10,1021,502141
20223,A Streetcar Named Desire,2018,8,1022,502179
20224,Some Like It Hot,2015,10,1023,50299
20225,Sleuth,1998,9,1024,50237
20226,Anatomy of a Murder,2020,19,1025,502183
20227,The Great Escape,2008,14,1026,502102
20228,Annie Hall,1988,8,1027,5028
20229,Pretty Woman,2019,9,1028,502230
20230,The Silence of the Lambs,1993,16,1029,5025
20331,The Wizard of Oz,1993,11,1030,50336
20332,Se7en,2002,15,1031,503125
20333,The Hustler,1998,16,1032,503145
20334,12 Angry Men,1989,17,1033,503165
20335,Belle de jour,1992,15,1034,503178
20336,Dial M for Murder,2020,19,1035,5033
20337,The Queen,1985,18,1036,503188
20338,Angels with Dirty Faces,1990,12,1037,50388
20339,Black Panther,1990,20,1038,50392
20340,Sweeney Todd: The Demon Barber of Fleet Street,2014,8,1039,503123
20441,Ninotchka,2000,11,1040,504141
20442,The Heiress,1990,19,1041,504139
20443,The Great Dictator,2016,20,1042,50424
20444,Banshun,2001,9,1043,50435
20445,The Sound of Music,2016,15,1044,50439
20446,From Here to Eternity,1989,20,1045,50431
20447,Elle,1990,18,1046,50488
20448,Serpico,2012,8,1047,504136
20449,Gilda,1992,19,1048,504160
20450,Catwoman,1993,14,1049,50472
20551,East of Eden,1989,14,1050,505197
20552,Spartacus,1990,11,1051,505107
20553,Rebel Without a Cause,2006,8,1052,505196
20554,La dolce vita,2009,10,1053,505199
20555,What Ever Happened to Baby Jane?,2012,19,1054,505231
20556,Raiders of the Lost Ark,2001,11,1055,505186
20557,Thelma & Louise,2005,19,1056,505168
20558,Singin' in the Rain,1987,16,1057,50553
20559,Fatal Attraction,2020,14,1058,505175
20560,Suspicion,1989,14,1059,505204
20661,Far from Heaven,2016,10,1060,50674
20662,The Fresh Prince of Bel-Air,1993,15,1061,506210
20663,Meng long guo jiang,2018,20,1062,5069
20664,Ray,2014,11,1063,506242
20665,Maleficent,2006,13,1064,506186
20666,True Grit,1989,15,1065,50655
20667,Klute,2003,17,1066,506220
20668,Ben-Hur,1985,12,1067,506104
20669,High Noon,1991,14,1068,506132
20670,Viskningar och rop,2003,8,1069,50641
20771,Black Swan,2015,8,1070,507219
20772,Cyrano de Bergerac,2018,19,1071,50719
20773,The Last King of Scotland,1998,8,1072,507159
20774,The Proposal,1985,9,1073,50736
20775,The King and I,2019,17,1074,50761
20776,Yajinbi,2019,17,1075,507139
20777,Tootsie,2003,13,1076,507223
20778,Dasharatham,2002,18,1077,507131
20779,Sense and Sensibility,2005,13,1078,507239
20780,Top Gun,2002,14,1079,507233
20881,What Lies Beneath,2015,13,1080,50864
20882,Network,2005,10,1081,508149
20883,Pulp Fiction,1998,13,1082,50880
20884,Lawrence of Arabia,1990,9,1083,508175
20885,Brokeback Mountain,1996,10,1084,508146
20886,Vicky Cristina Barcelona,2015,8,1085,50838
20887,Moulin Rouge!,2010,10,1086,50817
20888,The Mask of Zorro,1986,9,1087,508172
20889,Alien: Resurrection,2012,11,1088,50818
20890,Frida,2016,14,1089,508233
20991,Crash,1998,14,1090,50936
20992,"Three Billboards Outside Ebbing, Missouri",1999,15,1091,509113
20993,Misery,2008,20,1092,509249
20994,Arrival,2005,19,1093,50938
